REQUEST_ID,ACTIVITY,START_DATE,END_DATE,CE_UO,ROLE,AUTOMATIC,CLOSURE_TYPE,CLOSURE_REASON,WORKING_STATE,CE_STATE,GENERAL_STATE
201811010935,ACTIVITY 9,2018-11-29 08:49:57.000,2018-11-29 08:51:22.000,CE_UO 279,DIRECTOR,HUMAN,Client Recess,1 - Client lost,Completed,S005,Conclusa regolarmente
201811010935,ACTIVITY 10,2018-12-04 11:59:54.000,2018-12-04 12:00:20.000,CE_UO 279,APPLICANT,HUMAN,Client Recess,1 - Client lost,Completed,S010,Conclusa regolarmente
201811010935,ACTIVITY 2,2018-12-04 12:00:20.000,2018-12-07 13:26:13.000,CE_UO 1,BACK-OFFICE,HUMAN,Client Recess,1 - Client lost,Completed,S040,Conclusa regolarmente
201810003700,ACTIVITY 8,2018-10-10 11:26:30.000,2018-10-10 11:28:00.000,CE_UO 165,APPLICANT,HUMAN,Client Recess,2 - Keep bank account. Same dip,Completed,S000,Conclusa regolarmente
201810003700,ACTIVITY 10,2018-10-10 11:28:00.000,2018-10-10 11:28:31.000,CE_UO 11,APPLICANT,HUMAN,Client Recess,2 - Keep bank account. Same dip,Completed,S010,Conclusa regolarmente
201810003700,ACTIVITY 3,2018-10-10 11:28:31.000,2018-10-15 09:24:19.000,CE_UO 472,DIRECTOR,HUMAN,Client Recess,2 - Keep bank account. Same dip,Completed,S020,Conclusa regolarmente
201812000764,ACTIVITY 8,2018-12-04 10:42:22.000,2018-12-04 10:43:05.000,CE_UO 61,APPLICANT,HUMAN,Porting,,Completed,S000,Conclusa regolarmente
201812000764,ACTIVITY 15,2018-12-04 10:43:05.000,2018-12-11 12:35:09.000,CE_UO 28,APPLICANT,HUMAN,Porting,,Completed,S031,Conclusa regolarmente
201812000764,ACTIVITY 1,2018-12-11 12:35:09.000,2018-12-11 12:39:10.000,CE_UO 28,BACK-OFFICE,HUMAN,Porting,,Completed,S050,Conclusa regolarmente
201812002216,ACTIVITY 8,2018-12-06 15:58:39.000,2018-12-06 16:00:04.000,CE_UO 119,APPLICANT,HUMAN,Bank Recess,1 - Client lost,Completed,S000,Conclusa regolarmente
