REQUEST_ID,ACTIVITY,START_DATE,END_DATE,CE_UO,ROLE,CLOSURE_TYPE,CLOSURE_REASON,WORKING_STATE,case_cost
201812001382,Request created,2018-12-05 10:58:28.000,2018-12-05 11:00:04.000,476,APPLICANT,Bank Recess,1 - Client lost,Completed,1.5
201810011257,Request created,2018-10-29 16:07:11.000,2018-10-29 16:07:27.000,44,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,1.5
201810011257,Service closure Request with network responsibility,2018-10-29 16:07:27.000,2018-10-29 16:08:47.000,,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,2.1
201810011257,Authorization Requested,2018-10-29 16:08:47.000,2018-10-29 17:10:17.000,559,DIRECTOR,Client Recess,2 - Keep bank account. Same dip,Completed,4.91
201810011257,Service closure Request with BO responsibility,2018-10-29 17:10:17.000,2018-10-29 17:17:53.000,BOF,BACK-OFFICE,Client Recess,2 - Keep bank account. Same dip,Completed,5.71
201810006478,Request created,2018-10-17 15:20:06.000,2018-10-17 15:20:44.000,397,APPLICANT,Client Recess,7 - Keep other relationships. Same dip,Completed,1.5
201812002231,Request created,2018-12-06 16:22:29.000,2018-12-06 16:24:33.000,398,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,1.5
201810004949,Request created,2018-10-12 16:14:48.000,2018-10-12 16:15:27.000,50,APPLICANT,Client Recess,1 - Client lost,Completed,1.5
201810004949,Evaluating Request (NO registered letter),2018-10-12 16:15:27.000,2018-10-15 11:22:47.000,530,DIRECTOR,Client Recess,1 - Client lost,Completed,16.0
201810004949,Service closure Request with network responsibility,2018-10-15 14:43:10.000,2018-10-15 14:44:30.000,530,APPLICANT,Client Recess,1 - Client lost,Completed,16.6
201810004949,Service closure Request with BO responsibility,2018-10-15 14:44:30.000,2018-10-22 11:10:43.000,BOF,BACK-OFFICE,Client Recess,1 - Client lost,Completed,17.400000000000002
201810004949,Pending Request for Reservation Closure,2018-10-22 11:10:43.000,2018-10-22 11:10:49.000,BOF,BACK-OFFICE,Client Recess,1 - Client lost,Completed,18.200000000000006
201810005363,Request created,2018-10-15 14:34:03.000,2018-10-15 14:37:45.000,204,APPLICANT,Client Recess,7 - Keep other relationships. Same dip,Completed,1.5
201810005363,Evaluating Request (NO registered letter),2018-10-15 14:37:45.000,2018-10-16 08:29:08.000,305,DIRECTOR,Client Recess,7 - Keep other relationships. Same dip,Completed,16.0
